ID,SAMPLE_NAME,INTERP,X_ED50,Y_ED50,X_WGS84,Y_WGS84,WATER_DEPTH,TERMINAL_DEPTH,PRIMARY_COMPONENT,GRAIN_SIZE,STRENGTH_DENSITY,SECONDARY_COMPONENT,NOTES,BED_TOP,BED_BASE
0, ,KRJ,,53.3295355,1.503709,53.32875,0,3.5,Sand,coarse,,,brown,0,0.14
0, ,KRJ,,53.2976059,1.037317,53.296814,0,3.1500001,Sand,,,Shelly,,0,
0,0,KRJ,,53.3294485,1.503922,53.328663,0,2.5,Sand,coarse,,,,0,
0, ,KRJ,,53.295793,1.032028,53.295001,0,2.45,Sand,,,"shelly, silty",,0,
0, ,KRJ,1.0334536,53.295793,1.032028,53.295001,0,2.45,Clay,,dense,,grey,,2.45
0, ,KRJ,,53.293372,1.045539,53.29258,0,4,Sand,,,"shelly, silty",,0,
0, ,KRJ,1.0469642,53.293372,1.045539,53.29258,0,4,Clay,,dense,Gravelly (small pebbles),grey,,4
0, ,KRJ,,53.293342,1.04563,53.29255,0,1.75,Sand,,,silty,,0,
0, ,KRJ,1.0470552,53.293342,1.04563,53.29255,0,1.75,Clay,,dense,boulder clay,grey brown,,1.75
0, ,KRJ,,53.3430738,1.177099,53.342285,0,2.5999999,Sand,coarse,,shelly,,0,
0, ,KRJ,1.1785227,53.3430738,1.177099,53.342285,0,2.5999999,Clay,,dense,Boulder Clay,grey brown,,2.6
0,0,KRJ,,53.5830428,0.854228,53.582258,0,1.38,Sand,coarse,,"silty, very shelly",,0,
0,0,KRJ,0.8556673,53.5830428,0.854228,53.582258,0,1.38,Clay,,dense,"Boulder Clay, quartz erratics",grey brown,,1.38
0,0,KRJ,,53.5830238,0.854154,53.582239,0,1.4,Sand,coarse,,,,0,
0,0,KRJ,0.8555933,53.5830238,0.854154,53.582239,0,1.4,Clay,,very compact,Boulder Clay,,,1.4
0, ,KRJ,,53.296652,1.037796,53.29586,0,2.46,Sand,,,,brown,0,
0, ,KRJ,1.0392215,53.296652,1.037796,53.29586,0,2.46,clay,,,Gravelly - boulder clay,,,2.46
0, ,KRJ,,53.296576,1.03753,53.295784,0,1.98,Sand,,,,brown,0,
